Dates,Usage
02/01/2019 00:00:00,119.9
02/01/2019 00:00:00,130.3
02/01/2019 00:00:00,234.1
02/01/2019 00:00:00,85.8
02/01/2019 00:00:00,313.9
02/01/2019 00:00:00,40.7
02/01/2019 00:00:00,30.0
02/01/2019 00:00:00,52.5
02/01/2019 00:00:00,5.0
02/01/2019 00:00:00,78.7
02/01/2019 00:00:00,319.5
02/01/2019 00:00:00,253.0
02/01/2019 00:00:00,428.6
02/01/2019 00:00:00,12.8
02/01/2019 00:00:00,18.6
02/01/2019 00:00:00,164.6
02/01/2019 00:00:00,204.2
02/01/2019 00:00:00,206.3
02/01/2019 00:00:00,72.7
02/01/2019 00:00:00,268.3
02/01/2019 00:00:00,6.3
02/01/2019 00:00:00,82.3
02/01/2019 00:00:00,24.8
02/01/2019 00:00:00,70.2
02/01/2019 00:00:00,108.2
02/01/2019 00:00:00,2.0
02/01/2019 00:00:00,2.1
02/01/2019 00:00:00,21.7
02/01/2019 00:00:00,2.7
02/01/2019 00:00:00,6.1
02/01/2019 00:00:00,1.9
02/01/2019 00:00:00,2.2
02/01/2019 00:00:00,3.4
03/01/2019 00:00:00,121.9
03/01/2019 00:00:00,133.5
03/01/2019 00:00:00,240.2
03/01/2019 00:00:00,85.5
03/01/2019 00:00:00,311.8
03/01/2019 00:00:00,39.3
03/01/2019 00:00:00,30.1
03/01/2019 00:00:00,54.1
03/01/2019 00:00:00,4.9
03/01/2019 00:00:00,78.8
03/01/2019 00:00:00,316.7
03/01/2019 00:00:00,253.6
03/01/2019 00:00:00,419.6
03/01/2019 00:00:00,13.7
03/01/2019 00:00:00,18.2
03/01/2019 00:00:00,170.1
03/01/2019 00:00:00,204.5
03/01/2019 00:00:00,212.2
03/01/2019 00:00:00,73.6
03/01/2019 00:00:00,285.2
03/01/2019 00:00:00,6.5
03/01/2019 00:00:00,82.0
03/01/2019 00:00:00,25.6
03/01/2019 00:00:00,67.9
03/01/2019 00:00:00,110.2
03/01/2019 00:00:00,1.9
03/01/2019 00:00:00,2.2
03/01/2019 00:00:00,23.4
03/01/2019 00:00:00,2.4
03/01/2019 00:00:00,6.5
03/01/2019 00:00:00,1.8
03/01/2019 00:00:00,2.2
03/01/2019 00:00:00,3.6
04/01/2019 00:00:00,118.8
04/01/2019 00:00:00,128.2
04/01/2019 00:00:00,239.8
04/01/2019 00:00:00,83.5
04/01/2019 00:00:00,320.7
04/01/2019 00:00:00,38.1
04/01/2019 00:00:00,30.1
04/01/2019 00:00:00,53.2
04/01/2019 00:00:00,4.8
04/01/2019 00:00:00,74.8
04/01/2019 00:00:00,301.9
04/01/2019 00:00:00,239.3
04/01/2019 00:00:00,395.8
04/01/2019 00:00:00,12.6
04/01/2019 00:00:00,16.7
04/01/2019 00:00:00,165.2
04/01/2019 00:00:00,201.2
04/01/2019 00:00:00,205.3
04/01/2019 00:00:00,73.4
04/01/2019 00:00:00,270.3
04/01/2019 00:00:00,6.4
04/01/2019 00:00:00,82.9
04/01/2019 00:00:00,26.3
04/01/2019 00:00:00,66.3
04/01/2019 00:00:00,106.8
04/01/2019 00:00:00,1.7
04/01/2019 00:00:00,2.2
04/01/2019 00:00:00,21.7
04/01/2019 00:00:00,2.4
04/01/2019 00:00:00,6.3
04/01/2019 00:00:00,1.7
04/01/2019 00:00:00,2.2
04/01/2019 00:00:00,3.5
05/01/2019 00:00:00,121.0
05/01/2019 00:00:00,127.5
05/01/2019 00:00:00,239.1
05/01/2019 00:00:00,79.2
05/01/2019 00:00:00,299.0
05/01/2019 00:00:00,39.2
05/01/2019 00:00:00,30.2
05/01/2019 00:00:00,51.5
05/01/2019 00:00:00,4.3
05/01/2019 00:00:00,69.0
05/01/2019 00:00:00,313.2
05/01/2019 00:00:00,228.2
05/01/2019 00:00:00,411.1
05/01/2019 00:00:00,13.0
05/01/2019 00:00:00,17.6
05/01/2019 00:00:00,167.4
05/01/2019 00:00:00,201.7
05/01/2019 00:00:00,212.4
05/01/2019 00:00:00,75.4
05/01/2019 00:00:00,286.8
05/01/2019 00:00:00,6.6
05/01/2019 00:00:00,77.0
05/01/2019 00:00:00,23.0
05/01/2019 00:00:00,65.8
05/01/2019 00:00:00,107.0
05/01/2019 00:00:00,2.0
05/01/2019 00:00:00,2.2
05/01/2019 00:00:00,22.5
05/01/2019 00:00:00,2.7
05/01/2019 00:00:00,5.7
05/01/2019 00:00:00,1.8
05/01/2019 00:00:00,2.3
05/01/2019 00:00:00,3.5
06/01/2019 00:00:00,121.4
06/01/2019 00:00:00,132.6
06/01/2019 00:00:00,240.4
06/01/2019 00:00:00,76.6
06/01/2019 00:00:00,286.8
06/01/2019 00:00:00,39.2
06/01/2019 00:00:00,31.0
06/01/2019 00:00:00,53.2
06/01/2019 00:00:00,4.3
06/01/2019 00:00:00,68.1
06/01/2019 00:00:00,320.7
06/01/2019 00:00:00,227.4
06/01/2019 00:00:00,408.6
06/01/2019 00:00:00,12.9
06/01/2019 00:00:00,18.6
06/01/2019 00:00:00,171.2
06/01/2019 00:00:00,194.9
06/01/2019 00:00:00,217.5
06/01/2019 00:00:00,75.4
06/01/2019 00:00:00,298.3
06/01/2019 00:00:00,7.2
06/01/2019 00:00:00,76.4
06/01/2019 00:00:00,22.6
06/01/2019 00:00:00,62.9
06/01/2019 00:00:00,106.4
06/01/2019 00:00:00,2.0
06/01/2019 00:00:00,2.2
06/01/2019 00:00:00,21.7
06/01/2019 00:00:00,2.7
06/01/2019 00:00:00,6.2
06/01/2019 00:00:00,1.9
06/01/2019 00:00:00,2.3
06/01/2019 00:00:00,3.3
07/01/2019 00:00:00,118.0
07/01/2019 00:00:00,132.1
07/01/2019 00:00:00,241.9
07/01/2019 00:00:00,71.1
07/01/2019 00:00:00,294.2
07/01/2019 00:00:00,40.1
07/01/2019 00:00:00,30.1
07/01/2019 00:00:00,53.3
07/01/2019 00:00:00,4.0
07/01/2019 00:00:00,73.1
07/01/2019 00:00:00,319.4
07/01/2019 00:00:00,230.3
07/01/2019 00:00:00,408.1
07/01/2019 00:00:00,12.7
07/01/2019 00:00:00,18.3
07/01/2019 00:00:00,166.4
07/01/2019 00:00:00,191.9
07/01/2019 00:00:00,217.4
07/01/2019 00:00:00,74.9
07/01/2019 00:00:00,294.2
07/01/2019 00:00:00,7.0
07/01/2019 00:00:00,75.3
07/01/2019 00:00:00,23.9
07/01/2019 00:00:00,64.0
07/01/2019 00:00:00,109.3
07/01/2019 00:00:00,1.5
